,data_extracao,prefixo,ponto,placa,marca,modelo,data_primeiro_emplac,ano_fabricacao,combustivel,álcool,gasolina,GNV,elétrico
39,2020-03-12 01:58:27.228285,3067,TRIBUNAL DE JUSTIÇA ESTADUAL,IYM5876,VW,VOYAGE,2018-04-26,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
40,2020-03-12 01:58:27.228285,4038,,IZM7E38,CHEVROLET,SPIN,2019-07-30,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
41,2020-03-12 01:58:27.228285,4953,,IQE9374,GM,CORSA SEDAN,2009-10-08,2009,ÁLCOOL/GASOLINA,1,1,0,0
42,2020-03-12 01:58:27.228285,1271,RAMALHETE X TENENTE ALPOIN,IVQ0618,VW,VOYAGE,2014-06-17,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
43,2020-03-12 01:58:27.228285,3246,PRAÇA PRINCESA ISABEL,IWS2094,VW,VOYAGE,2015-08-11,2015,ÁLCOOL/GASOLINA,1,1,0,0
44,2020-03-12 01:58:27.228285,1729,,IXK7698,VW,VOYAGE,2016-09-09,2016,ÁLCOOL/GASOLINA,1,1,0,0
45,2020-03-12 01:58:27.228285,3920,BOURBON IPIRANGA,IWN4078,TOYOTA,ETIOS SEDAN,2015-05-08,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
46,2020-03-12 01:58:27.228285,2248,CENTRO CLÍNICO MÃE DE DEUS,IXO1834,VW,VOYAGE,2016-11-23,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
47,2020-03-12 01:58:27.228285,3328,,IVV6181,CHEVROLET,SPIN,2014-09-03,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
48,2020-03-12 01:58:27.228285,3844,,ITD4297,VW,SPACEFOX,2012-06-06,2011,ÁLCOOL/GASOLINA/GNV,1,1,1,0
49,2020-03-12 01:58:27.228285,3970,BARRA SHOPPING SUL,IVS3270,VW,VOYAGE,2014-07-02,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
50,2020-03-12 01:58:27.228285,1546,SÃO PEDRO X PRESIDENTE ROOSEVELT,IUI2801,FIAT,SIENA,2013-05-18,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
51,2020-03-12 01:58:27.228285,2943,,IVJ7039,FIAT,SIENA,2014-03-27,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
52,2020-03-12 01:58:27.228285,1927,HOSPITAL SANTA CASA (ÁREA INTERNA),IQR1453,FIAT,SIENA,2010-03-31,2010,ÁLCOOL/GASOLINA/GNV,1,1,1,0
53,2020-03-12 01:58:27.228285,4223,,IZM2F86,NISSAN,VERSA,2019-07-15,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
54,2020-03-12 01:58:27.228285,2937,VICENTE DA FONTOURA,IWE0985,CHEVROLET,PRISMA,2017-04-06,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
55,2020-03-12 01:58:27.228285,3378,JOSÉ DO PATROCÍNIO X REPÚBLICA,IWJ4931,FIAT,SIENA,2015-03-02,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
56,2020-03-12 01:58:27.228285,1895,AEROPORTO SALGADO FILHO,IXW5973,FIAT,SIENA,2017-06-08,2017,ÁLCOOL/GASOLINA,1,1,0,0
57,2020-03-12 01:58:27.228285,2023,LAURO MÜLLER X A. J. RENNER,IWD0577,FIAT,SIENA,2014-12-03,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
58,2020-03-12 01:58:27.228285,3333,SANTA CECÍLIA X  IPIRANGA (ZAFFARI),IUP8466,FIAT,SIENA,2013-08-15,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
59,2020-03-12 01:58:27.228285,4789,RODOVIÁRIA,IUV8159,FIAT,SIENA,1899-12-30,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
60,2020-03-12 01:58:27.228285,3670,HOTEL LANCASTER,IYL2530,VW,VOYAGE,2018-04-04,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
61,2020-03-12 01:58:27.228285,4246,,IZQ3A68,FIAT,CRONOS,2019-10-01,2019,ÁLCOOL/GASOLINA,1,1,0,0
62,2020-03-12 01:58:27.228285,2655,,IYX9489,CHEVROLET,COBALT,2018-11-29,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
63,2020-03-12 01:58:27.228285,4346,SHOPPING CENTER IGUATEMI II,IVB6739,TOYOTA,ETIOS,2013-12-20,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
64,2020-03-12 01:58:27.228285,3418,AEROPORTO SALGADO FILHO,IXD7219,CHEVROLET,SPIN,2016-03-22,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
65,2020-03-12 01:58:27.228285,3124,RODOVIÁRIA,IYI9878,CHEVROLET,SPIN,2018-02-14,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
66,2020-03-12 01:58:27.228285,4966,,FOG2395,GM,COBALT,2016-08-24,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
67,2020-03-12 01:58:27.228285,2999,HOSPITAL DA PUC,IYK1270,VW,VOYAGE,2018-03-08,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
68,2020-03-12 01:58:27.228285,4459,BOURBON COUNTRY,ITB6756,CHEVROLET,PRISMA,2012-05-12,2012,ÁLCOOL/GASOLINA,1,1,0,0
69,2020-03-12 01:58:27.228285,3205,ARMANDO BARBEDO X WENCESLAU ESCOBAR,IWL2177,CHEVROLET,PRISMA,2015-03-30,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
70,2020-03-12 01:58:27.228285,2388,AUXILIADORA X 24 DE OUTUBRO,IZA7C02,TOYOTA,ETIOS SEDAN,2019-01-09,2018,ÁLCOOL/GASOLINA,1,1,0,0
71,2020-03-12 01:58:27.228285,2854,HOSPITAL PRONTO SOCORRO (HPS),IYV2037,VW,VIRTUS,2018-10-10,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
